"corpus_string","Freq"
"attempt",16
"beneath",16
"bent",16
"beside",16
"breakfast",16
"broken",16
"certainly",16
"character",16
"comfort",16
"conversation",16
"ear",16
"ears",16
"eat",16
"em",16
"ere",16
"evidently",16
"expected",16
"foolish",16
"free",16
"gathered",16
"green",16
"hers",16
"lifted",16
"listened",16
"lock",16
"looks",16
"married",16
"odd",16
"order",16
"period",16
"power",16
"quick",16
"shouldn",16
"silly",16
"spring",16
"standing",16
"stared",16
"started",16
"state",16
"stopped",16
"strength",16
"thinking",16
"threw",16
"twice",16
"usual",16
"watching",16
"whose",16
"already",15
"altered",15
"approached",15
"attention",15
"below",15
"body",15
"calling",15
"carried",15
"cheerful",15
"chimney",15
"concerning",15
"convinced",15
"deal",15
"endure",15
"expect",15
"fair",15
"filled",15
"foot",15
"forget",15
"frame",15
"getting",15
"grief",15
"hated",15
"hearing",15
"illness",15
"inform",15
"instant",15
"key",15
"kill",15
"knee",15
"lattice",15
"low",15
"meant",15
"miserable",15
"murmured",15
"nonsense",15
"occasion",15
"offered",15
"ought",15
"peace",15
"perceiving",15
"pocket",15
"putting",15
"reading",15
"remove",15
"scene",15
"secret",15
"seven",15
"several",15
"shame",15
"shook",15
"showed",15
"sobbed",15
"society",15
"soft",15
"sprang",15
"stone",15
"stop",15
"suddenly",15
"surprise",15
"touched",15
"twelve",15
"weeks",15
"wi",15
"affection",14
"amusement",14
"anguish",14
"aside",14
"attempted",14
"aversion",14
"avoid",14
"beginning",14
"beheld",14
"bonny",14
"break",14
"bright",14
"clothes",14
"completely",14
"cruel",14
"desired",14
"determined",14
"dream",14
"drink",14
"ease",14
"escape",14
"evil",14
"fiend",14
"glass",14
"guessed",14
"hastened",14
"hinder",14
"idle",14
"insisted",14
"lass",14
"led",14
"lived",14
"met",14
"obeyed",14
"outside",14
"piece",14
"play",14
"pleasant",14
"quit",14
"rain",14
"raise",14
"resumed",14
"running",14
"saying",14
"slight",14
"sorrow",14
"speaking",14
"spirits",14
"stepped",14
"steps",14
"sunshine",14
"supper",14
"tale",14
"talking",14
"ten",14
"terror",14
"therefore",14
"thoughts",14
"thrust",14
"trying",14
"weather",14
"windows",14
"write",14
"year",14
"aid",13
"anxious",13
"anybody",13
"ashamed",13
"beautiful",13
"begin",13
"case",13
"chapel",13
"charge",13
"clear",13
"comes",13
"damn",13
"dismal",13
"draw",13
"dreary",13
"dry",13
"duty",13
"earnest",13
"exactly",13
"exceedingly",13
"fetch",13
"following",13
"fond",13
"forth",13
"frequently",13
"gazed",13
"gentleman",13
"given",13
"guest",13
"heath",13
"intention",13
"killed",13
"kiss",13
"kissed",13
"learn",13
"likely",13
"lintons",13
"lip",13
"listen",13
"meet",13
"meeting",13
"middle",13
"miles",13
"milk",13
"money",13
"move",13
"noise",13
"ordered",13
"ordinary",13
"pale",13
"perceived",13
"pray",13
"proceeded",13
"pursued",13
"pushed",13
"reflection",13
"reply",13
"rich",13
"sadly",13
"seem",13
"sha",13
"shoulder",13
"spare",13
"spent",13
"stones",13
"sudden",13
"sufficient",13
"sun",13
"waiting",13
"wretch",13
"accompany",12
"agitation",12
"ago",12
"agony",12
"alive",12
"along",12
"altogether",12
"amuse",12
"anger",12
"behaviour",12
"blue",12
"born",12
"buried",12
"catch",12
"cheeks",12
"church",12
"common",12
"consent",12
"continue",12
"courage",12
"covered",12
"curate",12
"danger",12
"descended",12
"discover",12
"dogs",12
"dress",12
"eagerly",12
"excuse",12
"explain",12
"extremely",12
"faces",12
"fact",12
"fastened",12
"forehead",12
"formed",12
"grieved",12
"grow",12
"harm",12
"hereafter",12
"hide",12
"horror",12
"hundred",12
"impossible",12
"instantly",12
"keeping",12
"knees",12
"knife",12
"knows",12
"locked",12
"loving",12
"merely",12
"minny",12
"news",12
"noticed",12
"nowt",12
"opposite",12
"ourselves",12
"owner",12
"passing",12
"patience",12
"perfectly",12
"persuade",12
"prevent",12
"pulled",12
"quarrel",12
"quitted",12
"recollect",12
"recovered",12
"reflected",12
"regard",12
"revealed",12
"ride",12
